iter	RMSE
684	17339.19743
685	17330.77426
686	17316.50877
687	17311.06079
688	17295.6838
689	17292.67908
690	17280.80902
691	17257.28563
692	17250.00927
693	17241.62339
694	17236.22213
695	17212.28554
696	17206.93096
697	17189.99612
698	17180.93381
699	17174.32293
700	17169.88903
701	17164.58485
702	17157.45525
703	17154.61113
704	17149.15285
705	17113.36987
706	17090.86219
707	17065.56988
708	17050.76649
709	17024.02137
710	17019.95653
711	16996.1814
712	16972.62549
713	16968.58672
714	16963.2653
715	16958.55424
716	16949.80606
717	16944.52227
718	16939.2228
719	16933.98432
720	16923.87907
721	16918.66588
722	16899.51219
723	16884.77967
724	16879.59308
725	16868.42228
726	16843.32606
727	16833.42474
728	16828.89681
729	16824.94835
730	16819.72378
731	16805.63753
732	16802.82466
733	16781.22984
734	16767.01023
735	16741.38024
736	16735.64257
737	16727.4822
738	16710.49064
739	16704.29096
740	16699.7702
741	16687.45011
742	16666.05265
743	16641.72009
744	16636.69117
745	16627.90849
746	16622.91615
747	16616.98472
748	16612.02412
749	16603.67022
750	16587.53464
751	16565.6736
752	16558.94861
753	16554.26914
754	16546.89464
755	16527.29453
756	16519.95279
757	16515.03965
758	16510.45089
759	16503.91364
760	16484.84058
761	16479.71945
762	16449.70182
763	16444.14781
764	16410.65299
765	16406.24072
766	16400.52802
767	16376.47391
768	16371.57801
769	16363.83494
770	16358.96851
771	16343.13653
772	16334.58749
773	16311.49224
774	16307.99976
775	16304.75752
776	16300.61003
777	16294.20298
778	16281.61386
779	16262.60225
780	16258.88564
781	16254.10828
782	16235.65397
783	16221.452
784	16216.68299
785	16211.94072
786	16207.22474
787	16200.95395
788	16193.41684
789	16188.74139
790	16168.64707
791	16162.46805
792	16155.07913
793	16150.44202
794	16145.83003
795	16143.24747
796	16139.63844
797	16113.61055
798	16091.51468
799	16084.88667
800	16062.9332
801	16048.32201
802	16043.78863
803	16039.27965
804	16024.91546
805	16019.96639
806	16015.49229
807	16011.04182
808	15999.40792
809	15994.97513
810	15991.45014
811	15973.74001
812	15967.81767
813	15958.19096
814	15942.98463
815	15937.20194
816	15933.7871
817	15929.40433
818	15926.96089
819	15921.86297
820	15917.63071
821	15886.75225
822	15862.72039
823	15858.97404
824	15854.81817
825	15850.49062
826	15846.47593
827	15844.06927
828	15831.77799
829	15827.57753
830	15816.87738
831	15812.59568
832	15810.21903
833	15800.57621
834	15798.20228
835	15791.40319
836	15770.61633
837	15765.92689
838	15761.72555
839	15754.12872
840	15740.37893
841	15736.19276
842	15731.47646
843	15711.47536
844	15695.03367
845	15689.5148
846	15679.25433
847	15674.70275
848	15670.55917
849	15666.43586
850	15662.33261
851	15647.4779
852	15643.39232
853	15639.32625
854	15633.14657
855	15611.67793
856	15607.61906
857	15604.03292
858	15589.73733
859	15585.7011
860	15581.68466
861	15576.30038
862	15568.56128
863	15566.31572
864	15561.85735
865	15554.43667
866	15550.44655
867	15543.83879
868	15538.51368
869	15525.14688
870	15519.01241
871	15516.78482
872	15497.09823
873	15493.17445
874	15480.04471
875	15474.76604
876	15455.67752
877	15452.48915
878	15447.85738
879	15443.95982
880	15440.78057
881	15436.90073
882	15410.93183
883	15402.09241
884	15398.92717
885	15395.05769
886	15377.24294
887	15375.18037
888	15357.27229
889	15341.09094
890	15335.29023
891	15331.41847
892	15327.56564
893	15323.73155
894	15319.91599
895	15294.09443
896	15279.29285
897	15265.26033
898	15262.09599
899	15258.29678
900	15254.51582
901	15250.86237
902	15247.09935
903	15245.10947
904	15232.71845
905	15222.04819
906	15219.9382
907	15213.7601
908	15208.68929
909	15194.2572
910	15182.09964
911	15178.37524
912	15176.28156
913	15172.58233
914	15168.90025
915	15164.21936
916	15147.19348
917	15133.27828
918	15129.61415
919	15124.67369
920	15119.43955
921	15113.78242
922	15110.1446
923	15108.093
924	15083.15974
925	15079.53878
926	15067.20409
927	15063.67528
928	15060.08982
929	15051.23254
930	15047.66888
931	15045.67407
932	15042.13411
933	15031.38555
934	15027.86468
935	15024.35992
936	15022.4041
937	15016.98017
938	15002.93409
939	14997.04008
940	14995.09874
941	14991.63259
942	14987.22071
943	14981.89294
944	14978.45171
945	14976.53539
946	14971.69363
947	14968.27451
948	14962.92563
949	14959.52127
950	14957.26299
951	14954.19589
952	14952.31091
953	14948.93544
954	14931.50302
955	14905.67083
956	14902.30889
957	14897.77399
958	14894.42667
959	14892.54634
960	14887.82314
961	14886.07939
962	14882.75973
963	14880.90497
964	14879.06009
965	14867.36979
966	14851.95706
967	14838.56123
968	14835.26123
969	14830.57482
970	14806.74681
971	14803.45433
972	14800.17716
973	14786.00932
974	14776.71182
975	14773.65104
976	14771.85413
977	14770.06625
978	14764.94162
979	14761.6989
980	14746.27444
981	14741.24332
982	14738.00985
983	14734.79182
984	14731.2343
985	14728.02935
986	14726.28419
987	14723.10067
988	14710.19821
989	14682.74213
990	14677.30592
991	14674.13461
992	14670.97863
993	14667.83781
994	14661.20543
995	14659.49283
996	14645.67629
997	14641.06517
998	14637.94167
999	14633.35938
